# t 	dNdt (2to2) 	error (2to2) 	dNdt (Brems) 	error (Brems) 
0.25	1.09954958232e-08	1.09954958232e-08	0.0107330498398	4.51320765499e-05
0.75	9.59392045556e-06	1.67796553187e-06	0.196098050299	0.000195863459196
1.25	3.74083528389e-05	3.18470061101e-06	0.652405425032	0.000329519960011
1.75	7.08803530131e-05	3.50995557674e-06	0.546282653188	0.000293045649578
2.25	0.00015066225453	7.1325866693e-06	0.306208375583	0.000200385963851
2.75	0.000198688950186	6.45835757281e-06	0.169627354923	0.000136508243971
3.25	0.000304447594345	8.58090584326e-06	0.102341646627	0.000102433179803
3.75	0.000471997413166	1.04339487086e-05	0.0674533456754	7.79376100777e-05
4.25	0.000756748378672	1.57912684927e-05	0.0442592699716	6.35112734535e-05
4.75	0.00110370644147	1.75054986002e-05	0.0338172661914	4.94658885598e-05
5.25	0.00148430752796	2.17714638696e-05	0.0232547611388	4.01006182929e-05
5.75	0.00193308816672	2.27950377735e-05	0.0192731031876	3.79804707202e-05
6.25	0.00258773100811	2.68855370056e-05	0.0132119075392	2.92824268785e-05
6.75	0.00337213793463	3.03364342818e-05	0.0103743290999	2.65775190831e-05
7.25	0.00446120914342	3.53567162532e-05	0.00794176458945	2.25422643724e-05
7.75	0.00584742098517	4.39163238548e-05	0.00516694923342	1.74074235247e-05
8.25	0.00728366954547	4.62024495952e-05	0.0034426432864	1.30769493734e-05
8.75	0.00930548770488	5.17303993836e-05	0.00235171541862	1.06104203522e-05
9.25	0.0115826123055	5.89538539428e-05	0.00159263425698	8.65325643174e-06
9.75	0.0137791253242	6.87709624489e-05	0.00109330709414	6.36060572507e-06
10.25	0.016423895102	7.05620342594e-05	0.000755290760054	5.27041348648e-06
10.75	0.0193751646988	8.061829598e-05	0.000530544779945	4.01676780023e-06
11.25	0.0219540532557	8.77527911024e-05	0.000382172118769	3.48833034178e-06
11.75	0.0236033605439	9.10563538198e-05	0.000273527275537	2.62659163421e-06
12.25	0.0262379869561	9.99566734545e-05	0.000203629505017	2.29458240483e-06
12.75	0.0299502645085	0.000102274018128	0.000145960720427	1.72334050826e-06
13.25	0.0315978352286	0.000110809466358	0.000112680991439	1.54014732253e-06
13.75	0.0325655349643	0.000114283605869	8.44757872241e-05	1.1916086391e-06
14.25	0.0326114272682	0.000112742206992	6.85528571347e-05	1.08184772811e-06
14.75	0.0326144261228	0.00011552053721	5.26785478608e-05	8.72315584097e-07
15.25	0.032687172994	0.000113959880327	4.2738798949e-05	7.31649270677e-07
15.75	0.0319198359357	0.000119447798821	3.45717745202e-05	6.46205349713e-07
16.25	0.0306623489538	0.000117278711751	2.80624956077e-05	4.99941791568e-07
16.75	0.0296914949244	0.000116567395584	2.41319123677e-05	5.08582391585e-07
17.25	0.0294728079742	0.000121215549267	1.9147462466e-05	4.06614769304e-07
17.75	0.0280899597532	0.000113723998209	1.61466165364e-05	3.92232636487e-07
18.25	0.0269335865476	0.000117968046312	1.41615235514e-05	4.07624415053e-07
