# integrated v2 already divided by Nevents
# t 	v2_int (2to2) 	v2_int_error (2to2) 	v2_int (brems) 	v2_int_error (brems) 	v2_int (tot) 	v2_int_error (tot)
-0.4	0	0	0	0	0	0
#1	-0.00102558549766	0.0329808093543	0.0344322569854	0.0288993777108	0.0219104191567	0.0205543560366
2	0.0122085230283	0.00794631827093	0.0202633533776	0.00751002746175	0.011192121362	0.00512794489901
3	0.0194756867021	0.00390895013943	0.0323929342894	0.00397188481806	0.0244016049226	0.00273590902251
5	0.0388656657254	0.00146249198514	0.0471959141588	0.00159703362012	0.0419379681238	0.00112308723914
10	0.0303786294573	0.000392671437969	0.0396831625154	0.00041899010082	0.0340786868032	0.000301546238338
20	0.0225263808578	0.000200502590105	0.0304597220626	0.00019928090533	0.0259484290693	0.0001515711246
50	0.0208553561615	0.000181640786312	0.0284354919597	0.000158514544881	0.02446026163	0.000129040919527
10000	0.0204613693924	0.000178432656933	0.0266507319401	0.00014295619435	0.0236301569252	0.00012045389899
