#0-5% 
4.25 0.000116954 1.60975e-06 1.34033e-05  
4.75 5.83475e-05 9.80658e-07 6.49107e-06  
5.25 2.88562e-05 6.23192e-07 3.04366e-06  
5.75 1.61336e-05 4.16639e-07 1.58296e-06  
6.25 1.01012e-05 2.95356e-07 9.37348e-07  
6.75 6.16622e-06 2.09733e-07 5.44603e-07  
7.25 3.8088e-06 1.49424e-07 3.29777e-07  
7.75 2.57191e-06 1.14391e-07 2.18454e-07  
8.25 1.69332e-06 8.43162e-08 1.40698e-07  
8.75 1.21861e-06 6.77061e-08 1.00004e-07  
9.25 7.47592e-07 4.79592e-08 6.20874e-08  
9.75 5.57775e-07 3.9572e-08 4.63225e-08  
11 2.49881e-07 1.49383e-08 2.02793e-08  
13 7.60635e-08 7.66556e-09 6.14284e-09  
15 2.25637e-08 3.24545e-09 1.95479e-09  
17 1.32184e-08 2.96705e-09 1.17735e-09  
19 1.40508e-09 1.00846e-09 2.2868e-10  
