#1509.07758v1
#pT v2 stat+ stat- syst+ syst-
0.5	0.0531	0.00836	-0.00764	0.02001	-0.0187
0.7	0.0387	0.00695	-0.00865	0.02518	-0.02907
0.9	0.0357	0.00804	-0.01036	0.01847	-0.02458
1.1	0.0456	0.01054	-0.01346	0.02077	-0.02769
1.3	0.0713	0.01164	-0.01276	0.01854	-0.02066
1.5	0.0979	0.01615	-0.01525	0.02272	-0.02142
1.7	0.0735	0.01479	-0.01601	0.01573	-0.01733
1.9	0.156	0.02909	-0.02291	0.02547	-0.0192
2.25	0.1034	0.0247	-0.0243	0.02229	-0.02149
3	0.0699	0.03161	-0.03379	0.01395	-0.01551
4.25	-0.3534	0.80772	-0.11968	0.11494	-0.18314
#1.19	0.0591	0.00383	-0.00577	0.02249	-0.02662
#1.69	0.0852	0.00293	-0.00347	0.0163	-0.01704
#2.2	0.0957	0.00461	-0.00499	0.02138	-0.02175
#2.7	0.0903	0.0074	-0.0078	0.01857	-0.01897
#3.2	0.0747	0.00978	-0.01222	0.01771	-0.01893
#3.85	0.0339	0.0282	-0.043	0.02182	-0.02982
#
