#1509.07758v1
#pT v3 stat+ stat- syst+ syst-
1.19 0.0178 0.0085 -0.0127 0.0240 -0.0343
1.69 0.0415 0.0108 -0.0154 0.0304 -0.0381
2.20 0.0619 0.0128 -0.0146 0.0339 -0.0365
2.70 0.0703 0.0198 -0.0206 0.0326 -0.0336
3.20 0.0637 0.0244 -0.0256 0.0274 -0.0284
3.85 0.0308 0.0265 -0.0331 0.0228 -0.0250
