#arXiv:1405.3940v1
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg162_data.html
#centrality bin 40-60%
#p_T         y   dy_stat   dy_syst
0.50  2.064060  0.615983  0.794669
0.70  0.530987  0.141643  0.232527
0.90  0.168944  0.047410  0.080196
1.10  0.061616  0.018912  0.030895
1.30  0.041359  0.009241  0.013852
1.50  0.014628  0.004274  0.005990
1.70  0.006184  0.002196  0.002790
1.90  0.003108  0.001249  0.001383
2.25  0.000850  0.000359  0.000435
3.00  0.000095  0.000054  0.000052
4.25  0.000008  0.000007  0.000003
