#5-10% 
4.25 7.66858e-05 1.48594e-06 9.78811e-06  
4.75 3.88705e-05 8.82305e-07 4.65519e-06  
5.25 2.08984e-05 5.54484e-07 2.35914e-06  
5.75 1.17278e-05 3.61419e-07 1.24133e-06  
6.25 7.09631e-06 2.47076e-07 7.10095e-07  
6.75 4.52354e-06 1.75644e-07 4.3033e-07  
7.25 2.87252e-06 1.27089e-07 2.67933e-07  
7.75 1.8289e-06 9.15946e-08 1.6685e-07  
8.25 1.27362e-06 6.97623e-08 1.13217e-07  
8.75 7.76441e-07 4.99626e-08 6.98159e-08  
9.25 6.64047e-07 4.39702e-08 5.85468e-08  
9.75 4.32546e-07 3.43591e-08 3.85014e-08  
11 1.72682e-07 1.19268e-08 1.48453e-08  
13 7.12815e-08 6.59493e-09 6.13045e-09  
15 2.04322e-08 2.83537e-09 1.9797e-09  
17 7.56549e-09 2.19236e-09 7.06729e-10  
