#arXiv:1405.3940v1
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg162_data.html
#centrality bin 20-40%
#p_T         y   dy_stat   dy_syst
0.50  5.954453  1.590491  2.116200 .1
0.70  0.906468  0.350932  0.588297 .1
0.90  0.396036  0.121966  0.209478 .1
1.10  0.215631  0.050980  0.084104 .1
1.30  0.110570  0.023209  0.036068 .1
1.50  0.050032  0.011015  0.015939 .1
1.70  0.019825  0.005521  0.007187 .1
1.90  0.011294  0.003037  0.003575 .1
2.25  0.004157  0.000919  0.001142 .25
3.00  0.000554  0.000135  0.000135 .5
4.25  0.000044  0.000018  0.000009 .75
