# t 	dNdt (2to2) 	error (2to2) 	dNdt (Brems) 	error (Brems) 
0.25	6.73341123411e-08	6.73341123411e-08	0.00737664740696	2.99187800955e-05
0.75	6.72036926265e-06	1.0724505696e-06	0.132766496295	0.000137282943986
1.25	2.83093584316e-05	2.18725505651e-06	0.435642490483	0.000235419436029
1.75	6.40235296997e-05	3.52187664896e-06	0.385222339228	0.000198058729395
2.25	0.000128285201489	6.31337474984e-06	0.236905271083	0.000145531836568
2.75	0.000208136848906	9.92801813882e-06	0.14294806408	0.000105028656037
3.25	0.000294963835157	1.09073059817e-05	0.0930748801089	8.7326449513e-05
3.75	0.000466124685872	1.42741821284e-05	0.0652993295031	6.86214246585e-05
4.25	0.000725010528752	1.65577889133e-05	0.0452994366749	6.09786851279e-05
4.75	0.00106484861962	2.05955854653e-05	0.0360756487023	5.56571043565e-05
5.25	0.00143841861571	2.37768728023e-05	0.0258560546901	4.30695996917e-05
5.75	0.00193095149694	3.02425858352e-05	0.0222043410521	4.34390305338e-05
6.25	0.00255321859265	3.29115826827e-05	0.0156557609654	3.45492506477e-05
6.75	0.00333490433674	3.56442329833e-05	0.0126440764758	3.07623428226e-05
7.25	0.00444396881284	4.32797036592e-05	0.00995598946448	2.54445754237e-05
7.75	0.00575677321533	4.93678794487e-05	0.0067124718446	1.93607478139e-05
8.25	0.00720027117512	5.39502215003e-05	0.00459656026451	1.57173622881e-05
8.75	0.009233898137	6.06427744896e-05	0.00324965660304	1.3340354079e-05
9.25	0.0116940347284	7.33662364331e-05	0.00227586101442	1.04565866096e-05
9.75	0.0137793341264	7.71099567833e-05	0.00161158015474	7.903329924e-06
10.25	0.0164144478926	8.50831968324e-05	0.00115430619125	6.34085007698e-06
10.75	0.0191284067668	9.46137744381e-05	0.000837699836102	5.20081049908e-06
11.25	0.0217550068638	0.000105398248276	0.000615546250087	5.7169083782e-06
11.75	0.0236132760718	0.000108518259028	0.000453308692236	3.89171277454e-06
12.25	0.0261051183761	0.000111725165828	0.000343683494014	3.33208042473e-06
12.75	0.0299502690316	0.000121369360266	0.000254236660553	2.64721877769e-06
13.25	0.0313663811077	0.000130540122122	0.000199465177001	2.31766858906e-06
13.75	0.0321404509362	0.000133381545456	0.000153866304573	1.87560919724e-06
14.25	0.0325608677335	0.000136216790034	0.000121913109405	1.6437011934e-06
14.75	0.0323830159913	0.000139469291839	0.000100230250816	1.79800660456e-06
15.25	0.0322224151149	0.000136698928036	7.9886405117e-05	1.11769054354e-06
15.75	0.0319379336595	0.000139944721324	6.53618772956e-05	1.0104661071e-06
16.25	0.0306452411132	0.000151854209708	5.44520619336e-05	1.06969187796e-06
16.75	0.0294416562529	0.000140852918975	4.41423964309e-05	7.93812003716e-07
17.25	0.0290801158006	0.000142561983344	3.85006943857e-05	6.73826499307e-07
17.75	0.0281862499307	0.000133067465218	3.21918429503e-05	6.48107060082e-07
18.25	0.0269394707732	0.000136433529147	2.91571101888e-05	7.19480560985e-07
18.75	0.0255746217054	0.000131489751969	2.45353402574e-05	5.79747702591e-07
19.25	0.0240844539508	0.000135837995871	2.19212889723e-05	5.82066634426e-07
19.75	0.0230218470335	0.000129678440727	1.84444026466e-05	4.65819361268e-07
20.25	0.0221383289003	0.000127713606145	1.70590545865e-05	4.18837070204e-07
20.75	0.0214844099954	0.000130795035782	1.52288937758e-05	4.56475028683e-07
21.25	0.0204406789803	0.000121685435279	1.25974598521e-05	3.52694806741e-07
21.75	0.0194524384622	0.000117719090273	1.22042601443e-05	3.91065907664e-07
22.25	0.0181538466951	0.000116496965023	1.15320711986e-05	3.7353550274e-07
22.75	0.0172083709268	0.000111951859594	1.00664666561e-05	3.54228925918e-07
23.25	0.0160128763528	0.000108558300071	9.14623321595e-06	3.08084778561e-07
23.75	0.0152027087802	0.000114354416977	8.8751437973e-06	3.27909008539e-07
24.25	0.0147027084234	0.000104956234881	7.13865718505e-06	2.76741898778e-07
24.75	0.0140427210589	0.000108855969134	7.09445789797e-06	3.32193330358e-07
25.25	0.0135428119451	9.8647175578e-05	6.94806575694e-06	2.94080674009e-07
25.75	0.0128800898331	9.70900984697e-05	6.12085189983e-06	2.47916993416e-07
26.25	0.0123226897081	0.000100004203423	6.10310815911e-06	2.96366754635e-07
26.75	0.0117604067678	9.07859499569e-05	5.01981173554e-06	2.38448224487e-07
27.25	0.0108427512105	9.54102395783e-05	4.85209179271e-06	2.24796818995e-07
27.75	0.0101636070658	8.6898340315e-05	4.54159678389e-06	2.11860846838e-07
28.25	0.00975326310545	8.39396188093e-05	4.72361858029e-06	2.36219597436e-07
28.75	0.00923748433511	8.59660546322e-05	4.27676629026e-06	2.41592495648e-07
29.25	0.00892853585128	8.2455173274e-05	3.80202628185e-06	2.25498228874e-07
29.75	0.00874253079758	7.69299222703e-05	3.58309361018e-06	1.85383425055e-07
30.25	0.00844180747212	7.9841830466e-05	3.32909975966e-06	2.10165568597e-07
30.75	0.00819215776412	8.2898665095e-05	2.82498976515e-06	1.4241226726e-07
31.25	0.00774858106053	7.75127950246e-05	2.73323621237e-06	1.44072252807e-07
31.75	0.00737856096162	7.07998307779e-05	2.8488196524e-06	2.22635379525e-07
32.25	0.00695971399657	7.06454679084e-05	2.46743719285e-06	1.71262180891e-07
32.75	0.00662270180766	7.39023738585e-05	2.75062714241e-06	1.84803551991e-07
33.25	0.00634958373173	6.95595680341e-05	2.38663683701e-06	1.48832598958e-07
33.75	0.0061682702098	6.98508340372e-05	2.38567250115e-06	1.51061122073e-07
34.25	0.00578002381686	6.43104236788e-05	1.90515501256e-06	1.29597782005e-07
34.75	0.00541306198735	6.54000925633e-05	2.17921408617e-06	1.55663370409e-07
35.25	0.00526451530502	6.00417281014e-05	2.22100917326e-06	1.87917492297e-07
35.75	0.00500859926898	6.09424937269e-05	2.09451230794e-06	1.86597417499e-07
36.25	0.00497068887272	5.94843340612e-05	1.80951497573e-06	1.67328693048e-07
36.75	0.00482856222368	5.95716612077e-05	1.67786386694e-06	1.39631861966e-07
37.25	0.0047659775871	5.84485116084e-05	1.84764099802e-06	1.57170449308e-07
37.75	0.00466927568642	5.85300068669e-05	1.3455219667e-06	1.00381811393e-07
38.25	0.00439211669971	5.96890248002e-05	1.72728663112e-06	1.66030135276e-07
38.75	0.00441702317983	5.78821810439e-05	1.46395315007e-06	1.84441441231e-07
39.25	0.00416350087229	5.30166903363e-05	1.58816867037e-06	1.63703040006e-07
39.75	0.0040364073211	5.37187015893e-05	1.25665582025e-06	1.0784872152e-07
40.25	0.00379344184739	5.69008312766e-05	1.27943614887e-06	1.08149981257e-07
