# E_photon	π＋π→ρ0＋γ	π＋π→ρ0＋γ_error	π＋π0→ρ＋γ	π＋π0→ρ＋γ_error	π＋ρ→π0＋γ	π＋ρ→π0＋γ_error	π＋ρ0→π＋γ	π＋ρ0→π＋γ_error	π＋π→η＋γ	π＋π→η＋γ_error	π＋π→γ＋γ	π＋π→γ＋γ_error	π＋η→π＋γ	π＋η→π＋γ_error	π0＋ρ→π＋γ	π0＋ρ→π＋γ_error	π0＋ρ0→π0＋γ	π0＋ρ0→π0＋γ_error	total	total_error	
0.01	0.0	0.0	0.005184489032766798	0.0009927794240856284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005184489032766798	0.0009927794240856284
0.03	0.0	0.0	0.002017758005541281	0.00035001452530607885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002017758005541281	0.00035001452530607885
0.05	0.0	0.0	0.0007872335623721388	0.00011816532656424538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007872335623721388	0.00011816532656424538
0.06999999999999999	0.0	0.0	0.00039161280110043003	5.682285042349984e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039161280110043003	5.682285042349984e-05
0.09	0.0	0.0	0.00021797073237412275	2.9065470466412515e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021797073237412275	2.9065470466412515e-05
0.11	0.0	0.0	0.0001283847030308891	1.639609363250218e-05	3.279927202524668e-09	1.7900587980377493e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.158309961913525e-10	2.2108169733394662e-09	2.931111307409774e-10	2.0517779151868424e-09	0.00012838859190021854	1.6393745630629055e-05
0.13	0.0	0.0	8.712454641384244e-05	1.0487378777175559e-05	8.905293064880775e-09	2.8356481526173247e-08	1.7605548323913697e-09	5.887664388488115e-09	0.0	0.0	0.0	0.0	0.0	0.0	1.3206074760484366e-09	5.190046158125403e-09	3.6771806936903314e-09	1.4920351510363907e-08	8.714021004990945e-05	1.0478575510141681e-05
0.15000000000000002	0.0	0.0	6.0620808429565545e-05	6.813840476712572e-06	3.331069395107924e-08	4.806749532432606e-08	1.2753866111514994e-08	2.0873647656459344e-08	0.0	0.0	0.0	0.0	0.0	0.0	4.017882967910052e-09	5.771284937548045e-09	1.109228562300051e-08	2.2956703975529417e-08	6.0681983158219046e-05	6.816111733479545e-06
0.17	1.4116780628384088e-10	9.881746439868864e-10	4.307658892030063e-05	4.9976035287983424e-06	9.691054821950299e-08	6.946362817901016e-08	3.4448886031755116e-08	3.3323382355232756e-08	0.0	0.0	0.0	0.0	0.0	0.0	1.1601963205375787e-08	1.3047104964225985e-08	2.7682600859791284e-08	3.045876812584881e-08	4.3247374086423304e-05	5.0180975049193955e-06
0.19	3.0716116432241012e-09	8.58874477419862e-09	3.118189560197394e-05	3.645999562201312e-06	2.250226704089196e-07	1.1453536660982662e-07	6.519827816345273e-08	4.6685428167410386e-08	0.0	0.0	0.0	0.0	0.0	0.0	2.3214313825263614e-08	1.2927161999631778e-08	4.783434796449296e-08	4.4973046958196224e-08	3.15462368239793e-05	3.659982258640779e-06
