# t 	dNdt (2to2) 	error (2to2) 	dNdt (Brems) 	error (Brems) 
0.25	0.0	0.0	0.0107291241	6.15491351017e-05
0.75	8.59531187932e-06	1.88190617213e-06	0.195670534339	0.000284731292006
1.25	3.5492012992e-05	4.39028456579e-06	0.652401772138	0.000450474005119
1.75	6.61566460532e-05	4.79169120705e-06	0.546483364761	0.000413045222713
2.25	0.000139790374311	1.17933013321e-05	0.305116478279	0.00028020343924
2.75	0.000206392416408	1.15339975476e-05	0.169484500174	0.000190397315306
3.25	0.000313801807725	1.23235067524e-05	0.102133752761	0.000142616763332
3.75	0.000478413995065	1.54429282378e-05	0.0675997735766	0.000108078921927
4.25	0.000724656150094	1.81507106759e-05	0.0442568711107	9.01373925247e-05
4.75	0.00108763275151	2.32301258641e-05	0.0339364793935	7.65294921032e-05
5.25	0.00148255084989	2.90218742743e-05	0.0232717289783	6.12338158063e-05
5.75	0.00194900567352	3.4006250341e-05	0.0193238828857	5.36152844473e-05
6.25	0.0026106864495	3.90130459456e-05	0.0131980375206	4.52257940814e-05
6.75	0.00339857716314	4.27376551245e-05	0.0103252865387	3.81458022598e-05
7.25	0.00439732487248	5.06093758368e-05	0.00797155891843	3.18640083218e-05
7.75	0.00584173752476	5.7478851961e-05	0.00514707246161	2.32241091328e-05
8.25	0.00733523562402	6.54056319174e-05	0.00347712085741	1.92624452038e-05
8.75	0.00918678270576	7.09338318481e-05	0.00235195264854	1.41368486399e-05
9.25	0.0113685432893	8.19489076025e-05	0.00160123323034	1.20198981145e-05
9.75	0.0138322923075	9.47805486061e-05	0.00108026921374	9.23569672541e-06
10.25	0.0163684281496	0.000107637037917	0.000752814474351	7.64987405316e-06
10.75	0.019306722912	0.000115961887328	0.000531553589172	5.50835559908e-06
11.25	0.0219077013873	0.000121742672675	0.000376918064787	4.21647465811e-06
11.75	0.0236443587858	0.000124351151308	0.000271581798109	3.40669099471e-06
12.25	0.0260817150936	0.000144864179776	0.000201576815207	3.09226046142e-06
12.75	0.0301900398898	0.000147205849238	0.000155632004739	2.89078186656e-06
13.25	0.0314947609509	0.000148858225287	0.000113042914276	2.2235373363e-06
13.75	0.0324833907554	0.000158591273248	8.65912208214e-05	1.69449395673e-06
14.25	0.0325840914269	0.00016453455433	6.89861280523e-05	1.38054710533e-06
14.75	0.0327191597704	0.000168168894638	5.33133522453e-05	1.2512205982e-06
15.25	0.0326813903279	0.000165135885755	4.22710652846e-05	1.14513689956e-06
15.75	0.0315534055036	0.000167399678641	3.49079463577e-05	1.15957884213e-06
16.25	0.0306683805266	0.000164864204421	2.86719528244e-05	8.52585567893e-07
16.75	0.0296822429722	0.000169507584198	2.31793505359e-05	6.51961603962e-07
17.25	0.0291981697826	0.000166778414295	1.94011304156e-05	6.18362390574e-07
17.75	0.0280983838828	0.00015801851525	1.5967623071e-05	5.28061028835e-07
18.25	0.0270514028628	0.000167959257509	1.34099188379e-05	3.9688556051e-07
18.75	0.0256118983503	0.000163488213017	1.11517648665e-05	3.80166756462e-07
19.25	0.0241580660864	0.000158728347898	1.01863244723e-05	3.87036230109e-07
19.75	0.0231702060557	0.000169042017658	9.07421237999e-06	3.47647290809e-07
20.25	0.0221071248088	0.000152065084637	7.58256060384e-06	3.27199764709e-07
20.75	0.0214549602794	0.000147033920173	7.31226722987e-06	3.99388785701e-07
21.25	0.0203406534895	0.00014188962144	5.8719239304e-06	2.4811777587e-07
21.75	0.0193579670923	0.000148317815443	5.16629952292e-06	2.59322448223e-07
22.25	0.018186439751	0.00013795593171	5.00034657894e-06	2.53629810154e-07
22.75	0.0171557730573	0.000133527850817	4.10276983992e-06	1.95438364722e-07
23.25	0.0160353806878	0.000123867036857	3.9641144651e-06	1.97035004964e-07
23.75	0.0152136530891	0.000128575572546	3.47189802064e-06	1.94797927337e-07
24.25	0.0147339253255	0.00013080966528	2.9080770546e-06	1.82912424581e-07
24.75	0.0141598728101	0.000118373429653	2.84361808277e-06	1.5598565433e-07
25.25	0.0133223049543	0.000111370278948	2.71734119471e-06	1.50197817562e-07
25.75	0.012931819457	0.000125123248487	2.29346389392e-06	1.41716424409e-07
