#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
1.56111  0.361159  -0.00959298  -0.0053282  0.0515842  0.0642777  -0.0330575  -0.0166615  -0.0364422  0.0267942  -0.0207135  -0.00926545  -0.007139  0.00910416  -0.000103908  0.000762542
1.7201  0.264759  0.000526509  0.00313707  0.0584569  0.0637046  -0.0382466  -0.0160707  -0.0450083  0.0318947  -0.0259227  -0.0101889  -0.00944848  0.012986  -0.000395524  0.00133573
1.88684  0.187264  0.0120899  0.0127675  0.0649743  0.061149  -0.0436773  -0.0146106  -0.0545762  0.037028  -0.0316854  -0.0108116  -0.0121311  0.0177862  -0.000870055  0.0021547
2.06134  0.128068  0.0247374  0.0234411  0.0710703  0.0566775  -0.0492516  -0.0122765  -0.0651319  0.0420323  -0.0379432  -0.0110768  -0.0151743  0.0235302  -0.00157548  0.00326837
2.2436  0.0848526  0.0381191  0.0350104  0.0767153  0.0503959  -0.0548612  -0.00910217  -0.0766527  0.0467516  -0.04463  -0.0109467  -0.0185604  0.0302133  -0.00255735  0.00472312
2.43361  0.0545656  0.0519079  0.047308  0.0819077  0.0424342  -0.0603947  -0.0051532  -0.0891073  0.0510417  -0.0516752  -0.0104021  -0.0222704  0.0378039  -0.00385573  0.0065613
2.63138  0.034112  0.0658083  0.0601511  0.0866655  0.0329339  -0.0657437  -0.000520184  -0.102454  0.0547748  -0.0590046  -0.00944142  -0.0262852  0.0462466  -0.00550209  0.00881958
2.8369  0.0207615  0.0795597  0.073348  0.0910195  0.0220406  -0.0708089  0.0046883  -0.11664  0.0578439  -0.066543  -0.00807897  -0.030588  0.0554665  -0.00751732  0.0115275
3.05018  0.0123178  0.092938  0.0867037  0.0950063  0.00989861  -0.0755038  0.0103522  -0.131603  0.0601639  -0.0742151  -0.00634277  -0.0351642  0.0653741  -0.00991011  0.0147066
3.27121  0.00713212  0.105755  0.100025  0.0986638  -0.00335223  -0.0797577  0.016346  -0.147268  0.061673  -0.081947  -0.0042722  -0.0400016  0.0758696  -0.0126762  0.0183691
3.5  0.00403408  0.117856  0.113126  0.102028  -0.0175782  -0.0835174  0.0225433  -0.163553  0.062332  -0.0896677  -0.00191529  -0.0450896  0.0868477  -0.0157985  0.0225181
