#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.770044  1.49379  -0.0257669  -0.0287802  0.0117646  0.0328214  -0.00987789  -0.00762805  -0.00565087  0.0044897  -0.00253539  -0.00204502  -0.000506839  0.000261383  4.3197e-05  -2.55113e-05
0.8825  1.31545  -0.0286761  -0.0280881  0.0171597  0.0406378  -0.0127256  -0.00980745  -0.00848678  0.0067703  -0.00405796  -0.003025  -0.000915768  0.00060494  7.05494e-05  -2.94477e-05
1.00271  1.12062  -0.0295373  -0.0261762  0.0233614  0.048046  -0.0159702  -0.011975  -0.0121692  0.00968345  -0.00613012  -0.00419146  -0.00154065  0.00123184  0.000100466  -1.55106e-05
1.13068  0.92207  -0.0280548  -0.0229689  0.0301397  0.054495  -0.0196265  -0.0139303  -0.0167681  0.0132183  -0.00881082  -0.00548449  -0.00243537  0.0022669  0.000121804  3.73867e-05
1.2664  0.732405  -0.0241499  -0.0184246  0.0372505  0.0595393  -0.0237027  -0.0154745  -0.0223303  0.017318  -0.0121334  -0.00682296  -0.00364611  0.00384229  0.000115012  0.000158802
1.40988  0.561717  -0.0179206  -0.0125356  0.0444642  0.062863  -0.0281904  -0.0164312  -0.0288838  0.0218859  -0.0161059  -0.00811453  -0.00520716  0.0060847  5.19262e-05  0.000386042
1.56111  0.416293  -0.00959298  -0.0053282  0.0515842  0.0642777  -0.0330575  -0.0166615  -0.0364422  0.0267942  -0.0207135  -0.00926545  -0.007139  0.00910417  -0.000103908  0.000762545
1.7201  0.298457  0.00052651  0.00313706  0.0584569  0.0637046  -0.0382466  -0.0160707  -0.0450083  0.0318947  -0.0259227  -0.0101889  -0.00944848  0.012986  -0.000395518  0.00133573
1.88684  0.207269  0.0120899  0.0127675  0.0649743  0.061149  -0.0436773  -0.0146106  -0.0545762  0.037028  -0.0316854  -0.0108116  -0.0121311  0.0177862  -0.00087006  0.00215471
2.06134  0.139623  0.0247374  0.0234411  0.0710703  0.0566775  -0.0492516  -0.0122765  -0.0651318  0.0420323  -0.0379432  -0.0110768  -0.0151743  0.0235302  -0.00157547  0.00326839
2.2436  0.0913589  0.0381191  0.0350104  0.0767153  0.0503959  -0.0548612  -0.00910217  -0.0766527  0.0467516  -0.04463  -0.0109467  -0.0185604  0.0302133  -0.00255736  0.00472313
2.43361  0.0581413  0.0519079  0.0473079  0.0819077  0.0424342  -0.0603947  -0.0051532  -0.0891072  0.0510417  -0.0516752  -0.0104021  -0.0222704  0.0378039  -0.00385573  0.0065613
2.63138  0.0360328  0.0658083  0.0601511  0.0866655  0.0329339  -0.0657437  -0.000520186  -0.102454  0.0547748  -0.0590046  -0.00944142  -0.0262852  0.0462466  -0.00550209  0.00881958
2.8369  0.0217712  0.0795597  0.0733481  0.0910196  0.0220405  -0.0708089  0.00468833  -0.11664  0.0578439  -0.066543  -0.00807896  -0.0305881  0.0554666  -0.00751734  0.0115275
3.05018  0.0128377  0.0929381  0.0867038  0.0950064  0.00989832  -0.0755038  0.0103523  -0.131603  0.0601638  -0.0742151  -0.00634275  -0.0351643  0.0653742  -0.00991012  0.0147067
3.27121  0.00739456  0.105755  0.100025  0.0986639  -0.00335295  -0.0797577  0.0163461  -0.147269  0.0616728  -0.0819471  -0.00427212  -0.0400017  0.0758698  -0.0126763  0.0183693
3.5  0.00416407  0.117857  0.113127  0.102028  -0.0175801  -0.0835174  0.0225436  -0.163555  0.0623315  -0.0896681  -0.00191509  -0.04509  0.0868483  -0.0157987  0.0225185
