#ARXIV:1105.3865
#http://hepdata.cedar.ac.uk/view/ins900651/d14/plain.txt
#Path: /HepData/8437/d13-x1-y1
#v2{SP,Deltaeta=0.2} (blue filled circles)
#Location: F 3a
#ABS(DELTA(ETA)) : > 0.2
#RE : PB PB --> CHARGED X
#SQRT(S)/NUCLEON : 2760.0 GeV
#x : PT IN GEV
#y : v2{SP,Deltaeta=0.2} (blue filled circles)
#xdesc	x	xlow	xhigh	y	dy+	dy-	
0.25	0.039506	4.53E-4	
0.35	0.054606	4.49E-4	
0.45	0.068971	4.71E-4	
0.55	0.084048	5.11E-4	
0.65	0.096809	5.64E-4	
0.75	0.109131	6.26E-4	
0.85	0.119861	6.97E-4	
0.95	0.130735	7.77E-4	
1.1	0.145594	6.43E-4	
1.3	0.161632	7.99E-4	
1.5	0.180863	9.86E-4	
1.7	0.194553	0.00122	
1.9	0.208946	0.001512	
2.1	0.218347	0.001867	
2.3	0.223919	0.002282	
2.5	0.230006	0.002804	
2.7	0.237168	0.003396	
2.9	0.243976	0.004077	
3.2	0.239478	0.003726	
3.6	0.237796	0.005269	
4.0	0.229257	0.007165	
4.4	0.211401	0.01068	
4.8	0.199559	0.010646	

