#http://arxiv.org/abs/1310.8651
#https://twiki.cern.ch/twiki/pub/CMSPublic/HIN11005Data/HIN-11-005-Fig2.txt
#v4{EP Psi4}(pT) centrality 0-5
p_T : v_n : stat : sys
0.35	0.00140	0.000220	0.000576
0.45	0.00290	0.000219	0.000184
0.55	0.00460	0.000229	0.000298
0.69	0.00750	0.000181	0.000482
0.89	0.01170	0.000217	0.000293
1.09	0.01680	0.000263	0.000420
1.38	0.02330	0.000241	0.000584
1.76	0.03380	0.000367	0.000846
2.21	0.04660	0.000568	0.001165
2.71	0.05850	0.000927	0.001463
3.21	0.06820	0.001499	0.001705
3.71	0.07330	0.002365	0.001832
4.38	0.06880	0.002968	0.001719
5.41	0.05180	0.005768	0.001296
6.75	0.03000	0.007799	0.000751
