#arXiv:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d4/plain.txt
#Path: /HepData/8463/d4-x1-y1
#pT-differential invariant yield of pion+ and pion- for centrality 20-30%
#Location: Figure 4A
#CENTRALITY : 20.0 - 30.0 pct
#RE : PB PB --> PI+ X : PB PB --> PI- X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x: PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	y	dy+	dy+	y	dy+	dy+
0.11	661.4	3.7	79.2	640.1	3.6	74.6
0.13	591	2.4	64.1	571.3	2.3	61.9
0.15	535	1.9	57.9	516	1.8	55.7
0.17	480.8	1.6	51.9	469	1.5	50.6
0.19	428.2	1.3	46.1	419.3	1.3	45.3
0.225	347.9	0.8	23.6	339.5	0.7	23.4
0.275	263.1	0.6	17.8	261.4	0.6	17.8
0.325	202.3	0.5	14.4	203	0.5	14.6
0.375	158.4	0.4	10.4	159.7	0.4	10.7
0.425	125.5	0.3	8.1	127	0.3	8.3
0.475	99.49	0.28	6.38	100.6	0.3	6.5
0.525	79.02	0.21	3.78	79.52	0.21	3.85
0.575	64.19	0.18	2.98	64.5	0.18	2.99
0.625	52.34	0.18	2.64	53.17	0.18	2.73
0.675	43.14	0.16	2.16	43.52	0.16	2.2
0.725	35.73	0.15	1.78	36.04	0.15	1.78
0.775	29.66	0.13	1.48	29.83	0.13	1.48
0.825	24.74	0.12	1.23	24.83	0.12	1.22
0.875	20.78	0.11	1.03	20.76	0.11	1.01
0.925	17.55	0.1	0.86	17.58	0.1	0.85
0.975	14.66	0.09	0.72	14.91	0.09	0.72
1.05	11.43	0.06	0.56	11.47	0.05	0.56
1.15	8.187	0.045	0.405	8.215	0.045	0.393
1.25	5.958	0.025	0.363	5.984	0.025	0.36
1.35	4.355	0.02	0.266	4.338	0.02	0.263
1.45	3.179	0.016	0.196	3.203	0.016	0.196
1.55	2.359	0.014	0.147	2.377	0.014	0.147
1.65	1.746	0.013	0.11	1.743	0.013	0.109
1.75	1.309	0.009	0.084	1.291	0.009	0.083
1.85	0.9662	0.0075	0.0636	0.9718	0.0075	0.0635
1.95	0.7334	0.0081	0.0495	0.7268	0.008	0.0487
2.05	0.5608	0.0064	0.0389	0.5583	0.0063	0.0384
2.15	0.4263	0.0061	0.0305	0.4256	0.006	0.0302
2.25	0.3347	0.0041	0.0248	0.3265	0.004	0.024
2.35	0.2534	0.0033	0.0194	0.2515	0.0033	0.0191
2.45	0.1971	0.0046	0.0157	0.203	0.0047	0.0161
2.55	0.152	0.0037	0.0126	0.1541	0.0037	0.0127
2.65	0.1224	0.0039	0.0106	0.122	0.0038	0.0105
2.75	0.09529	0.00219	0.00862	0.0993	0.0023	0.00891
2.85	0.0772	0.00165	0.00731	0.07645	0.00161	0.00717
2.95	0.06249	0.00197	0.0062	0.06035	0.0019	0.00593
