#ARXIV:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d13/plain.txt
#Path: /HepData/8463/d13-x1-y1
#pT-differential invariant yield of kaon+ and kaon- for centrality 10-20%
#Location: Figure 4B
#CENTRALITY : 10.0 - 20.0 pct
#RE : PB PB --> K+ X : PB PB --> K- X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x : PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	y	dy+	dy+	y	dy+	dy+
0.225	29.52	0.42	3.64	30.16	0.45	3.67
0.275	25.66	0.23	2.1	26.77	0.26	2.08
0.325	25.45	0.2	1.83	25.71	0.22	1.77
0.375	24.4	0.18	1.68	24.6	0.19	1.64
0.425	22.41	0.3	1.7	22.57	0.34	1.6
0.475	20.25	0.16	2.53	20.12	0.18	2.23
0.525	18.06	0.22	1.12	18.08	0.25	1.11
0.575	16.2	0.18	1.05	16.1	0.2	1.24
0.625	14.51	0.16	0.88	14.49	0.18	0.93
0.675	13.39	0.15	0.8	13.18	0.17	0.84
0.725	12.17	0.14	0.72	11.6	0.15	0.74
0.775	10.96	0.13	0.64	10.64	0.14	0.65
0.825	9.799	0.116	0.592	9.706	0.133	0.635
0.875	8.838	0.111	0.539	8.85	0.13	0.558
0.925	7.716	0.102	0.44	7.877	0.121	0.474
0.975	6.895	0.096	0.403	6.947	0.112	0.419
1.05	5.695	0.061	0.323	5.589	0.067	0.33
1.15	4.445	0.052	0.25	4.354	0.058	0.257
1.25	3.428	0.029	0.284	3.343	0.031	0.302
1.35	2.695	0.025	0.227	2.576	0.026	0.235
1.45	2.057	0.02	0.177	1.952	0.021	0.182
1.55	1.588	0.017	0.14	1.561	0.019	0.149
1.65	1.222	0.014	0.111	1.181	0.015	0.117
1.75	0.9453	0.0118	0.0892	0.911	0.0126	0.0934
1.85	0.7313	0.0099	0.0718	0.7155	0.0108	0.0765
1.95	0.5699	0.0083	0.0584	0.5358	0.0085	0.06
2.05	0.445	0.007	0.0478	0.449	0.008	0.0529
2.15	0.3544	0.0061	0.04	0.3386	0.0064	0.042
2.25	0.2633	0.0046	0.0313	0.256	0.0051	0.0336
2.35	0.2105	0.0041	0.0264	0.2115	0.0048	0.0294
2.45	0.1641	0.0033	0.0217	0.1643	0.0039	0.0243
2.55	0.1298	0.0029	0.0182	0.1184	0.0028	0.0186
2.65	0.1011	0.0024	0.015	0.1008	0.0028	0.0168
2.75	0.07869	0.00198	0.01235	0.07602	0.00218	0.0135
2.85	0.06329	0.00168	0.01052	0.06133	0.00193	0.01159
2.95	0.05093	0.00144	0.00897	0.04791	0.00157	0.00964
