#http://arxiv.org/abs/1310.8651
#https://twiki.cern.ch/twiki/pub/CMSPublic/HIN11005Data/HIN-11-005-Fig2.txt
#v3{EP Psi3}(pT) centrality 0-5
#p_T : v_n : stat : sys
0.35	0.00540	0.000127	0.001085
0.45	0.00880	0.000126	0.000294
0.55	0.01230	0.000133	0.000412
0.69	0.01760	0.000105	0.000592
0.89	0.02470	0.000125	0.000446
1.09	0.03180	0.000152	0.000574
1.38	0.04110	0.000139	0.000740
1.76	0.05310	0.000213	0.000957
2.21	0.06650	0.000329	0.001198
2.71	0.07930	0.000537	0.001430
3.21	0.08550	0.000869	0.001541
3.71	0.08840	0.001371	0.001594
4.38	0.08140	0.001720	0.001468
5.41	0.06620	0.003342	0.001193
6.75	0.03840	0.004520	0.000693
