# v2 (pT) of protons + antiprotons in PbPb@2.76 TeV, 10-20% centrality
# Path: /REF/ALICE_2014_I1297103/d31-x01-y01
# Title: doi:10.17182/hepdata.68162.v1/t31
# Type: Scatter2D
# ---
# xval	 xerr-	 xerr+	 yval	 yerr-	 yerr+	
3.572940e-01	0.000000e+00	0.000000e+00	1.509000e-03	3.613221e-03	3.613221e-03
4.545480e-01	0.000000e+00	0.000000e+00	5.930000e-03	2.841356e-03	2.841356e-03
5.525810e-01	0.000000e+00	0.000000e+00	8.946000e-03	2.856322e-03	2.856322e-03
6.513310e-01	0.000000e+00	0.000000e+00	1.230200e-02	2.903110e-03	2.903110e-03
7.508120e-01	0.000000e+00	0.000000e+00	1.667200e-02	3.035892e-03	3.035892e-03
8.496180e-01	0.000000e+00	0.000000e+00	2.511200e-02	3.669157e-03	3.669157e-03
9.488110e-01	0.000000e+00	0.000000e+00	2.903000e-02	3.733525e-03	3.733525e-03
1.048540e+00	0.000000e+00	0.000000e+00	3.675500e-02	3.982714e-03	3.982714e-03
1.148490e+00	0.000000e+00	0.000000e+00	4.370500e-02	4.192542e-03	4.192542e-03
1.248820e+00	0.000000e+00	0.000000e+00	5.502300e-02	4.484310e-03	4.484310e-03
1.348590e+00	0.000000e+00	0.000000e+00	6.396100e-02	4.693875e-03	4.693875e-03
1.449370e+00	0.000000e+00	0.000000e+00	7.225300e-02	4.864181e-03	4.864181e-03
1.549230e+00	0.000000e+00	0.000000e+00	8.442300e-02	5.048536e-03	5.048536e-03
1.649090e+00	0.000000e+00	0.000000e+00	9.578500e-02	5.159119e-03	5.159119e-03
1.748970e+00	0.000000e+00	0.000000e+00	1.033440e-01	5.163543e-03	5.163543e-03
1.848760e+00	0.000000e+00	0.000000e+00	1.139520e-01	5.241791e-03	5.241791e-03
1.948720e+00	0.000000e+00	0.000000e+00	1.233850e-01	5.230684e-03	5.230684e-03
2.048660e+00	0.000000e+00	0.000000e+00	1.328760e-01	5.230553e-03	5.230553e-03
2.148600e+00	0.000000e+00	0.000000e+00	1.397380e-01	5.183093e-03	5.183093e-03
2.248560e+00	0.000000e+00	0.000000e+00	1.450540e-01	5.232807e-03	5.232807e-03
2.348510e+00	0.000000e+00	0.000000e+00	1.539030e-01	5.288724e-03	5.288724e-03
2.448430e+00	0.000000e+00	0.000000e+00	1.588740e-01	5.354303e-03	5.354303e-03
2.548450e+00	0.000000e+00	0.000000e+00	1.685500e-01	5.618966e-03	5.618966e-03
2.648440e+00	0.000000e+00	0.000000e+00	1.747730e-01	6.577657e-03	6.577657e-03
2.748520e+00	0.000000e+00	0.000000e+00	1.800220e-01	8.055190e-03	8.055190e-03
2.848400e+00	0.000000e+00	0.000000e+00	1.821690e-01	9.989852e-03	9.989852e-03
2.948400e+00	0.000000e+00	0.000000e+00	1.875190e-01	1.218300e-02	1.218300e-02
3.093250e+00	0.000000e+00	0.000000e+00	1.968490e-01	1.325255e-02	1.325255e-02
3.292870e+00	0.000000e+00	0.000000e+00	2.045660e-01	1.389307e-02	1.389307e-02
3.492510e+00	0.000000e+00	0.000000e+00	2.059250e-01	1.426073e-02	1.426073e-02
3.692820e+00	0.000000e+00	0.000000e+00	2.129390e-01	1.495327e-02	1.495327e-02
3.893180e+00	0.000000e+00	0.000000e+00	2.162600e-01	1.588866e-02	1.588866e-02
4.170430e+00	0.000000e+00	0.000000e+00	2.125700e-01	1.635204e-02	1.635204e-02
4.570070e+00	0.000000e+00	0.000000e+00	2.161200e-01	1.836823e-02	1.836823e-02
4.969940e+00	0.000000e+00	0.000000e+00	1.957220e-01	2.010166e-02	2.010166e-02
5.371340e+00	0.000000e+00	0.000000e+00	1.880470e-01	2.463194e-02	2.463194e-02
5.772550e+00	0.000000e+00	0.000000e+00	1.852930e-01	3.555582e-02	3.555582e-02


