# v2 (pT) of kaons in PbPb@2.76 TeV, 10-20% centrality
# Path: /REF/ALICE_2014_I1297103/d10-x01-y01
# Title: doi:10.17182/hepdata.68162.v1/t10
# Type: Scatter2D
# ---
# xval	 xerr-	 xerr+	 yval	 yerr-	 yerr+	
3.510170e-01	0.000000e+00	0.000000e+00	1.181600e-02	2.111383e-03	2.111383e-03
4.409700e-01	0.000000e+00	0.000000e+00	2.141800e-02	2.577436e-03	2.577436e-03
5.547470e-01	0.000000e+00	0.000000e+00	2.913500e-02	2.483887e-03	2.483887e-03
6.473600e-01	0.000000e+00	0.000000e+00	3.773400e-02	2.462204e-03	2.462204e-03
7.494710e-01	0.000000e+00	0.000000e+00	4.852900e-02	2.540361e-03	2.540361e-03
8.500150e-01	0.000000e+00	0.000000e+00	5.954900e-02	2.635924e-03	2.635924e-03
9.495590e-01	0.000000e+00	0.000000e+00	6.921200e-02	2.740685e-03	2.740685e-03
1.049270e+00	0.000000e+00	0.000000e+00	7.878400e-02	2.874162e-03	2.874162e-03
1.149110e+00	0.000000e+00	0.000000e+00	8.871400e-02	3.017772e-03	3.017772e-03
1.249040e+00	0.000000e+00	0.000000e+00	9.694800e-02	3.141053e-03	3.141053e-03
1.348800e+00	0.000000e+00	0.000000e+00	1.055580e-01	3.282994e-03	3.282994e-03
1.448600e+00	0.000000e+00	0.000000e+00	1.132180e-01	3.421463e-03	3.421463e-03
1.548460e+00	0.000000e+00	0.000000e+00	1.194450e-01	3.535556e-03	3.535556e-03
1.648290e+00	0.000000e+00	0.000000e+00	1.251970e-01	3.681263e-03	3.681263e-03
1.748230e+00	0.000000e+00	0.000000e+00	1.322010e-01	3.822565e-03	3.822565e-03
1.848020e+00	0.000000e+00	0.000000e+00	1.382010e-01	3.977207e-03	3.977207e-03
1.948050e+00	0.000000e+00	0.000000e+00	1.424860e-01	4.083183e-03	4.083183e-03
2.048050e+00	0.000000e+00	0.000000e+00	1.475770e-01	4.255962e-03	4.255962e-03
2.147980e+00	0.000000e+00	0.000000e+00	1.526060e-01	4.394316e-03	4.394316e-03
2.248090e+00	0.000000e+00	0.000000e+00	1.556520e-01	4.571225e-03	4.571225e-03
2.347930e+00	0.000000e+00	0.000000e+00	1.579930e-01	4.688339e-03	4.688339e-03
2.447920e+00	0.000000e+00	0.000000e+00	1.607400e-01	4.947049e-03	4.947049e-03
2.547850e+00	0.000000e+00	0.000000e+00	1.608490e-01	5.173774e-03	5.173774e-03
2.647890e+00	0.000000e+00	0.000000e+00	1.670800e-01	6.241480e-03	6.241480e-03
2.748040e+00	0.000000e+00	0.000000e+00	1.738020e-01	7.777484e-03	7.777484e-03
2.847930e+00	0.000000e+00	0.000000e+00	1.644220e-01	9.400877e-03	9.400877e-03
2.947830e+00	0.000000e+00	0.000000e+00	1.623320e-01	1.106749e-02	1.106749e-02
3.091630e+00	0.000000e+00	0.000000e+00	1.717160e-01	1.196973e-02	1.196973e-02
3.291640e+00	0.000000e+00	0.000000e+00	1.691620e-01	1.227748e-02	1.227748e-02
3.491350e+00	0.000000e+00	0.000000e+00	1.702780e-01	1.305072e-02	1.305072e-02
3.690740e+00	0.000000e+00	0.000000e+00	1.700770e-01	1.417787e-02	1.417787e-02
3.889750e+00	0.000000e+00	0.000000e+00	1.608970e-01	1.557781e-02	1.557781e-02

