#Yield-weigthed average of 30-35% and 35-40% with yield and v3 data from:
#https://twiki.cern.ch/twiki/pub/CMSPublic/HIN11005Data/HIN-11-005-Fig2.txt
#pT	V3 (30-40%)	stat	sys
0.35	0.0092550406	0.0003061842	0.0009840489
0.449	0.0153422013	0.0003085666	0.0004379034
0.549	0.0209884635	0.0003263185	0.0005355329
0.694	0.0290649524	0.0002604041	0.0007582501
0.893	0.0404897748	0.0003140809	0.0008272762
1.09	0.0509046662	0.0003818468	0.001004769
1.38	0.0648379278	0.0003569117	0.0012237237
1.76	0.0812065891	0.0005455039	0.0015022939
2.21	0.0977164325	0.0008205417	0.0017888218
2.71	0.1076889953	0.0013086023	0.0020878429
3.22	0.1116277335	0.0020282913	0.0020825522
