#arXiv:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d14/plain.txt
#Path: /HepData/8463/d14-x1-y1
#pT-differential invariant yield of kaon+ and kaon- for centrality 20-30%
#Location: Figure 4B
#CENTRALITY : 20.0 - 30.0 pct
#RE : PB PB --> K+ X : PB PB --> K- X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x: PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	y	dy+	dy+	y	dy+	dy+
0.225	20.54	0.31	2.42	21	0.33	2.44
0.275	18.05	0.18	1.56	18.68	0.2	1.58
0.325	17.76	0.16	1.19	18.18	0.17	1.24
0.375	16.97	0.14	1.14	17.21	0.15	1.13
0.425	15.27	0.22	1.11	15.83	0.26	1.06
0.475	14.22	0.12	1.67	13.8	0.13	1.42
0.525	12.32	0.17	0.74	12.59	0.2	0.76
0.575	10.99	0.14	0.73	11.18	0.16	0.84
0.625	9.844	0.122	0.617	9.823	0.138	0.635
0.675	9.049	0.114	0.536	8.817	0.126	0.561
0.725	8.089	0.104	0.476	7.809	0.113	0.5
0.775	7.386	0.099	0.426	7.104	0.108	0.443
0.825	6.535	0.088	0.395	6.5	0.101	0.418
0.875	5.825	0.084	0.337	5.818	0.096	0.361
0.925	5.155	0.077	0.301	5.164	0.091	0.313
0.975	4.452	0.07	0.25	4.5	0.082	0.269
1.05	3.688	0.044	0.207	3.677	0.051	0.217
1.15	2.906	0.039	0.165	2.798	0.042	0.167
1.25	2.24	0.022	0.185	2.167	0.023	0.195
1.35	1.745	0.018	0.147	1.683	0.019	0.154
1.45	1.349	0.015	0.116	1.265	0.015	0.118
1.55	1.031	0.013	0.091	1.017	0.014	0.097
1.65	0.8051	0.0107	0.0733	0.7851	0.0115	0.0775
1.75	0.6211	0.0089	0.0586	0.6065	0.0097	0.0622
1.85	0.4842	0.0076	0.0475	0.4664	0.0081	0.0499
1.95	0.3605	0.0059	0.037	0.3695	0.007	0.0414
2.05	0.2925	0.0053	0.0314	0.2844	0.0058	0.0335
2.15	0.2269	0.0044	0.0256	0.2173	0.0046	0.027
2.25	0.1719	0.0035	0.0204	0.1739	0.0042	0.0228
2.35	0.1401	0.0031	0.0176	0.1403	0.0036	0.0195
2.45	0.1058	0.0024	0.014	0.1059	0.0028	0.0157
2.55	0.08781	0.00221	0.0123	0.08332	0.00241	0.01308
2.65	0.06923	0.00188	0.01026	0.06976	0.00224	0.01165
2.75	0.05128	0.00145	0.00805	0.05311	0.00181	0.00943
2.85	0.04307	0.00133	0.00716	0.04024	0.00142	0.00761
2.95	0.03317	0.0011	0.00584	0.03376	0.00135	0.00679
