#pT	val	val-stat_err	val+stat_err	pT-sys_box	val-low_syst_box	pT+sys_box	val+high_syst_box
1.1072318008	 0.07125000000000001	 0.05833333333333335	 0.07958333333333333	1.0	 -0.004166666666666673	1.2	 0.11499999999999998
1.3091714559	 0.08499999999999998	 0.07708333333333335	 0.09208333333333336	1.2 0.03583333333333333	1.4	 0.12208333333333328
1.5189176245	 0.10958333333333335	 0.1058333333333333	 0.11374999999999998	1.4 0.08166666666666665	1.6	 0.13541666666666663
1.71223659	 0.09833333333333334	 0.0895833333333333	 0.10666666666666667	1.6 0.05291666666666667	1.8	 0.13458333333333333
1.9140804598	 0.11041666666666668	 0.09999999999999999	 0.11916666666666666	1.8 0.06083333333333332	2.0	 0.15125000000000005
2.1141522989	 0.09166666666666666	 0.07708333333333335	 0.10416666666666664	2.0 0.04125000000000001	2.2	 0.12958333333333333
2.3170977011	 0.12291666666666669	 0.11000000000000003	 0.13374999999999998	2.2 0.08166666666666665	2.4	 0.16041666666666665
2.515158046	 0.06916666666666667	 0.028333333333333308	 0.09416666666666663	2.4 -0.036666666666666674	2.6	 0.125
2.8180555556	 0.0895833333333333	 0.07083333333333333	 0.10500000000000002	2.6 0.037499999999999964	3.0	 0.12791666666666673
3.2615900383	 0.057083333333333305	 0.032916666666666664	 0.07916666666666668	3.0 0.0020833333333332912	3.5	 0.09374999999999996
3.7619971264	 0.014166666666666675	 -0.03708333333333334	 0.051666666666666625	3.5 -0.06958333333333333	4.0	 0.05958333333333332
4.5088601533	 0.009583333333333284	 -0.04375000000000004	 0.05166666666666668	4.0 -0.06916666666666661	5.0	 0.05500000000000001
