#pT v3 v3-~err v3+~err
0.552	0.0278812095	0.0278812095	0.0278812095
0.66	0.0332846652	0.0332846652	0.0332846652
0.756	0.038687689	0.038687689	0.038687689
0.852	0.0434427646	0.0434427646	0.0434427646
1.008	0.0503598272	0.0503598272	0.0503598272
1.2	0.0590060475	0.0590060475	0.0590060475
1.404	0.0670047516	0.0661408207	0.0674367171
1.596	0.0741390929	0.0728436285	0.074787473
1.8	0.0795460043	0.0784665227	0.0808419006
2.004	0.0840889849	0.0830090713	0.085600432
2.196	0.0873356371	0.0860397408	0.0890634989
2.4	0.0892868251	0.0875589633	0.0910146868
2.592	0.0897257019	0.0877822894	0.0916695464
2.856	0.0888712743	0.0867114471	0.0912470842
3.144	0.0856419006	0.083050108	0.0882332613
3.492	0.0798228942	0.0761511879	0.083062635
3.9	0.0709822894	0.066662635	0.075949892
