# E_photon	π＋π→ρ0＋γ	π＋π→ρ0＋γ_error	π＋π0→ρ＋γ	π＋π0→ρ＋γ_error	π＋ρ→π0＋γ	π＋ρ→π0＋γ_error	π＋ρ0→π＋γ	π＋ρ0→π＋γ_error	π＋π→η＋γ	π＋π→η＋γ_error	π＋π→γ＋γ	π＋π→γ＋γ_error	π＋η→π＋γ	π＋η→π＋γ_error	π0＋ρ→π＋γ	π0＋ρ→π＋γ_error	π0＋ρ0→π0＋γ	π0＋ρ0→π0＋γ_error	total	total_error	
0.005	0.004511199694975567	0.0006999836837050127	0.008027435710569283	0.0008527738864045818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01253863540554485	0.0011152635218942615
0.015	0.004292071473531275	0.00032304241080227626	0.0048147579653215564	0.0004029871517578465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00910682943885283	0.0005020014443762462
0.025	0.003309122779026201	0.00029129337869508026	0.002811271616522373	0.00020151177234091757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006120394395548575	0.00039534378863955995
0.034999999999999996	0.002192004683830317	0.00017516942863756633	0.0016714302938923853	9.41412792982966e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038634349777227025	0.00019395240846828456
0.045	0.0014844375492410974	0.0001343250562957157	0.0010468850749103195	6.11228783755072e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025313226241514167	0.00013710167677942028
0.055	0.0009947475908043974	8.30227677177857e-05	0.000714007311070897	2.8558869498895288e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017087549018752943	8.30123748486793e-05
0.065	0.0006977904970805555	6.428537408010043e-05	0.0004970254079623419	1.959032725954772e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011948159050428973	6.066032623403843e-05
0.07500000000000001	0.0005081398616479563	4.7627043596468e-05	0.00035665467274201913	2.093978836087567e-05	4.068741262826489e-09	1.220622378847947e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008647986031312383	5.725681291586489e-05
0.085	0.0003719505126229722	3.089454156910575e-05	0.0002665627306989905	1.367515558254637e-05	3.5601205481694084e-09	1.0680361644508223e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006385168034425109	3.7027308216097294e-05
0.095	0.000282726755826091	2.1644371755740803e-05	0.0002017131377114665	1.3926799859579913e-05	3.175294091269139e-09	9.525882273807416e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048444306883164875	2.9597231889410395e-05
