#nucl-ex/0606003 
#https://drupal.star.bnl.gov/STAR/files/starpublications/65/data.html
#proton after Lambda and Sigma+ feeddown correction, Au+Au 10-20%
#pT bin [GeV/c] 	pT position[GeV/c] 	1/Nevent d2 N / (2 π pT dpT dy) [c2/GeV2]
5.00e-01 6.00e-01 	5.500e-01 	2.10e+00 8.62e-01
6.00e-01 7.00e-01 	6.500e-01 	2.18e+00 7.28e-01
7.00e-01 8.00e-01 	7.500e-01 	2.11e+00 6.48e-01
8.00e-01 9.00e-01 	8.500e-01 	1.92e+00 5.93e-01
9.00e-01 1.00e+00 	9.500e-01 	1.73e+00 5.30e-01
1.00e+00 1.10e+00 	1.050e+00 	1.63e+00 4.07e-01
1.10e+00 1.20e+00 	1.150e+00 	1.21e+00 3.19e-01
1.20e+00 1.40e+00 	1.300e+00 	8.21e-01 2.26e-01
1.40e+00 1.60e+00 	1.500e+00 	5.13e-01 1.37e-01
1.60e+00 1.80e+00 	1.700e+00 	2.91e-01 8.28e-02
1.80e+00 2.00e+00 	1.900e+00 	1.73e-01 4.86e-02
2.00e+00 2.20e+00 	2.100e+00 	1.07e-01 3.31e-02
2.20e+00 2.50e+00 	2.350e+00 	5.48e-02 1.72e-02
2.50e+00 3.00e+00 	2.750e+00 	1.77e-02 5.49e-03
2.50e+00 2.75e+00 	2.625e+00 	1.96e-02 7.92e-03
2.75e+00 3.00e+00 	2.875e+00 	1.01e-02 3.80e-03
3.00e+00 3.25e+00 	3.125e+00 	4.70e-03 2.01e-03
3.25e+00 3.50e+00 	3.375e+00 	2.41e-03 1.08e-03
3.50e+00 3.75e+00 	3.625e+00 	1.29e-03 5.62e-04
3.75e+00 4.00e+00 	3.875e+00 	7.37e-04 2.89e-04
4.00e+00 4.50e+00 	4.250e+00 	3.39e-04 1.17e-04
4.50e+00 5.00e+00 	4.750e+00 	1.14e-04 4.28e-05
5.00e+00 5.50e+00 	5.250e+00 	4.93e-05 1.65e-05
5.50e+00 6.00e+00 	5.750e+00 	2.25e-05 8.85e-06
6.00e+00 7.00e+00 	6.430e+00 	7.91e-06 2.82e-06
7.00e+00 8.00e+00 	7.440e+00 	1.94e-06 8.42e-07
8.00e+00 1.00e+01 	8.810e+00 	5.78e-07 2.48e-07
