#arXiv:nucl-ex/0307022
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg026_data.html
#pT[GeV/c	Minimum bi		 0--5%		  5--10%		10--15%		15--20%		 20--30%		  30--40%		40--50%		50--60%		 60--70%		  70--80%		80--92%	
0.65	9.51E-001	2.70E-002	2.90E+000	9.30E-002	2.44E+000	8.00E-002	2.09E+000	6.90E-002	1.76E+000	6.00E-002	1.37E+000	4.40E-002	9.68E-001	3.20E-002	6.31E-001	2.20E-002	3.82E-001	1.50E-002	2.04E-001	9.70E-003	9.09E-002	5.90E-003	4.96E-002	4.20E-003
0.75	8.47E-001	2.40E-002	2.65E+000	8.50E-002	2.24E+000	7.30E-002	1.87E+000	6.20E-002	1.59E+000	5.40E-002	1.24E+000	4.00E-002	8.52E-001	2.90E-002	5.39E-001	1.90E-002	3.25E-001	1.30E-002	1.65E-001	8.10E-003	7.04E-002	4.90E-003	3.79E-002	3.40E-003
0.85	7.08E-001	2.00E-002	2.28E+000	7.30E-002	1.91E+000	6.30E-002	1.60E+000	5.30E-002	1.34E+000	4.60E-002	1.02E+000	3.30E-002	7.06E-001	2.40E-002	4.33E-001	1.60E-002	2.60E-001	1.10E-002	1.27E-001	6.50E-003	5.41E-002	4.00E-003	2.62E-002	2.70E-003
0.95	6.06E-001	1.80E-002	2.00E+000	6.60E-002	1.66E+000	5.50E-002	1.41E+000	4.80E-002	1.16E+000	4.10E-002	8.90E-001	2.90E-002	5.79E-001	2.00E-002	3.60E-001	1.40E-002	2.08E-001	9.10E-003	1.00E-001	5.50E-003	4.11E-002	3.30E-003	2.06E-002	2.30E-003
1.05	5.05E-001	1.50E-002	1.68E+000	5.70E-002	1.43E+000	4.90E-002	1.16E+000	4.10E-002	9.75E-001	3.50E-002	7.41E-001	2.50E-002	4.83E-001	1.70E-002	2.96E-001	1.20E-002	1.61E-001	7.50E-003	7.43E-002	4.50E-003	3.14E-002	2.80E-003	1.54E-002	1.90E-003
1.15	4.23E-001	1.30E-002	1.46E+000	5.10E-002	1.22E+000	4.30E-002	9.85E-001	3.60E-002	8.38E-001	3.10E-002	6.27E-001	2.20E-002	3.93E-001	1.50E-002	2.33E-001	9.70E-003	1.24E-001	6.20E-003	5.88E-002	3.80E-003	2.40E-002	2.30E-003	8.08E-003	1.30E-003
1.25	3.30E-001	1.00E-002	1.16E+000	4.20E-002	9.51E-001	3.50E-002	7.92E-001	3.00E-002	6.47E-001	2.50E-002	4.83E-001	1.80E-002	3.09E-001	1.20E-002	1.77E-001	7.90E-003	9.20E-002	5.00E-003	3.98E-002	3.00E-003	1.68E-002	1.90E-003	6.94E-003	1.20E-003
1.35	2.71E-001	8.80E-003	9.72E-001	3.70E-002	7.96E-001	3.10E-002	6.55E-001	2.60E-002	5.35E-001	2.20E-002	3.93E-001	1.50E-002	2.46E-001	1.00E-002	1.40E-001	6.70E-003	7.34E-002	4.40E-003	3.41E-002	2.70E-003	1.21E-002	1.60E-003	5.84E-003	1.10E-003
1.45	2.04E-001	6.70E-003	7.42E-001	2.90E-002	6.09E-001	2.50E-002	5.07E-001	2.10E-002	4.04E-001	1.80E-002	2.90E-001	1.20E-002	1.89E-001	8.30E-003	1.05E-001	5.40E-003	4.98E-002	3.30E-003	2.41E-002	2.20E-003	9.02E-003	1.30E-003	3.61E-003	8.10E-004
1.55	1.68E-001	5.80E-003	6.05E-001	2.50E-002	5.08E-001	2.20E-002	4.21E-001	1.90E-002	3.33E-001	1.60E-002	2.42E-001	1.00E-002	1.49E-001	7.10E-003	8.39E-002	4.70E-003	4.43E-002	3.10E-003	1.69E-002	1.80E-003	6.98E-003	1.10E-003	2.19E-003	6.30E-004
