#arXiv:nucl-ex/0307022
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg026_data.html
#pT[GeV/c	Minimum bi		 0--5%		  5--10%		10--15%		15--20%		 20--30%		  30--40%		40--50%		50--60%		 60--70%		  70--80%		80--92%	
1.65	1.25E-001	4.40E-003	4.55E-001	2.00E-002	3.77E-001	1.70E-002	3.02E-001	1.40E-002	2.60E-001	1.30E-002	1.80E-001	8.10E-003	1.10E-001	5.60E-003	6.02E-002	3.70E-003	3.29E-002	2.60E-003	1.30E-002	1.50E-003	4.57E-003	9.00E-004	1.36E-003	4.80E-004
1.75	9.38E-002	3.40E-003	3.51E-001	1.60E-002	2.76E-001	1.40E-002	2.29E-001	1.20E-002	1.86E-001	1.00E-002	1.36E-001	6.60E-003	8.52E-002	4.70E-003	4.64E-002	3.10E-003	2.37E-002	2.10E-003	9.76E-003	1.30E-003	3.81E-003	8.00E-004	1.40E-003	4.80E-004
1.85	7.50E-002	2.80E-003	2.85E-001	1.40E-002	2.28E-001	1.20E-002	1.79E-001	1.00E-002	1.51E-001	8.90E-003	1.08E-001	5.70E-003	6.68E-002	4.00E-003	3.64E-002	2.70E-003	1.80E-002	1.80E-003	7.16E-003	1.10E-003	2.56E-003	6.60E-004	8.09E-004	3.70E-004
1.95	5.37E-002	2.10E-003	1.99E-001	1.10E-002	1.61E-001	9.30E-003	1.36E-001	8.20E-003	1.06E-001	6.90E-003	7.98E-002	4.50E-003	4.72E-002	3.20E-003	2.53E-002	2.10E-003	1.24E-002	1.40E-003	5.34E-003	9.10E-004	2.04E-003	5.70E-004	8.46E-004	3.60E-004
2.1	3.71E-002	9.40E-004	1.35E-001	5.00E-003	1.12E-001	4.40E-003	9.18E-002	3.80E-003	7.41E-002	3.30E-003	5.63E-002	2.10E-003	3.32E-002	1.50E-003	1.82E-002	1.00E-003	9.33E-003	7.20E-004	3.47E-003	4.20E-004	1.34E-003	2.70E-004	4.08E-004	1.50E-004
2.3	2.15E-002	5.90E-004	7.69E-002	3.50E-003	6.73E-002	3.20E-003	5.39E-002	2.70E-003	4.46E-002	2.40E-003	3.19E-002	1.50E-003	1.96E-002	1.10E-003	9.61E-003	7.20E-004	4.86E-003	5.00E-004	2.28E-003	3.40E-004	6.06E-004	1.80E-004	2.88E-004	1.20E-004
2.5	1.21E-002	4.20E-004	4.39E-002	2.50E-003	3.67E-002	2.20E-003	3.05E-002	2.00E-003	2.52E-002	1.70E-003	1.79E-002	1.10E-003	1.07E-002	7.80E-004	5.83E-003	5.50E-004	3.01E-003	3.90E-004	9.91E-004	2.20E-004	3.91E-004	1.40E-004	2.19E-004	1.00E-004
2.7	7.26E-003	2.80E-004	2.44E-002	1.80E-003	2.27E-002	1.70E-003	1.78E-002	1.50E-003	1.55E-002	1.30E-003	1.08E-002	8.00E-004	6.78E-003	6.10E-004	3.73E-003	4.40E-004	1.66E-003	2.90E-004	6.31E-004	1.70E-004	2.37E-004	1.10E-004	1.12E-004	7.40E-005
2.9	4.17E-003	1.90E-004	1.54E-002	1.40E-003	1.16E-002	1.20E-003	1.04E-002	1.10E-003	8.35E-003	9.50E-004	6.05E-003	5.80E-004	4.10E-003	4.70E-004	2.20E-003	3.30E-004	1.03E-003	2.20E-004	4.62E-004	1.50E-004	1.06E-004	7.30E-005	3.22E-005	4.00E-005
3.25	1.70E-003	8.30E-005	5.98E-003	5.50E-004	5.17E-003	5.00E-004	4.04E-003	4.30E-004	3.51E-003	3.90E-004	2.54E-003	2.40E-004	1.64E-003	1.90E-004	8.36E-004	1.30E-004	4.01E-004	8.70E-005	1.66E-004	5.50E-005	6.73E-005	3.60E-005	2.02E-005	2.00E-005
3.75	5.79E-004	4.40E-005	2.05E-003	3.10E-004	1.68E-003	2.80E-004	1.45E-003	2.50E-004	1.18E-003	2.20E-004	8.20E-004	1.30E-004	5.66E-004	1.10E-004	3.25E-004	7.80E-005	1.45E-004	5.20E-005	5.72E-005	3.20E-005	2.13E-005	1.90E-005	2.89E-006	7.70E-006
4.25	2.21E-004	2.70E-005	8.96E-004	2.20E-004	7.04E-004	1.90E-004	4.70E-004	1.50E-004	4.64E-004	1.40E-004	3.07E-004	8.30E-005	1.93E-004	6.40E-005	1.07E-004	4.70E-005	4.94E-005	3.20E-005	2.40E-005	2.20E-005	1.02E-005	1.50E-005	2.43E-006	6.70E-006
