#bin  pt     v2      sta_err    v2+sys_err  v2-sys_err
0 0.364727 0.00923883 0.000272997 0.0101041 0.00837352
1 0.613192 0.0201636 0.000358979 0.0218854 0.0184419
2 0.863085 0.0315953 0.000486183 0.0339095 0.0292811
3 1.11338 0.0431779 0.000653479 0.0466314 0.0397243
4 1.36327 0.0549698 0.000878561 0.0582807 0.0516589
5 1.61283 0.0655922 0.00119097 0.0703085 0.0608759
6 1.86272 0.0750559 0.00161202 0.0805722 0.0695397
7 2.20132 0.0908559 0.00175732 0.0981741 0.0835377
8 2.7044 0.0937797 0.00316727 0.101333 0.086226
9 3.34423 0.0845143 0.00466588 0.0913218 0.0777069
