#arXiv:nucl-ex/0307022
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg026_data.html
#pT[G	Minimum		0--5%		5--10%		10--15%		15--20%		20--30%		30--40%		40--50%		50--60%		60--70%		70--80%		80--92%		60--92%	
1.65	2.45E-01	4.10E-03	8.04E-01	1.75E-02	6.81E-01	1.55E-02	5.82E-01	1.35E-02	4.89E-01	1.20E-02	3.69E-01	8.10E-03	2.34E-01	5.80E-03	1.41E-01	4.05E-03	7.29E-02	2.70E-03	3.67E-02	1.80E-03	1.53E-02	1.15E-03	6.78E-03	7.70E-04	2.02E-02	8.25E-04
1.75	1.75E-01	3.15E-03	5.68E-01	1.35E-02	4.88E-01	1.25E-02	4.15E-01	1.05E-02	3.52E-01	9.60E-03	2.62E-01	6.40E-03	1.69E-01	4.70E-03	9.95E-02	3.30E-03	5.49E-02	2.30E-03	2.57E-02	1.50E-03	1.06E-02	9.75E-04	5.26E-03	6.80E-04	1.43E-02	6.80E-04
1.85	1.26E-01	2.35E-03	4.12E-01	1.15E-02	3.45E-01	9.80E-03	3.00E-01	8.80E-03	2.47E-01	7.75E-03	1.93E-01	5.15E-03	1.21E-01	3.80E-03	7.33E-02	2.75E-03	3.90E-02	1.95E-03	1.90E-02	1.25E-03	8.05E-03	8.45E-04	3.69E-03	5.65E-04	1.06E-02	5.80E-04
1.95	8.99E-02	1.85E-03	2.83E-01	8.90E-03	2.52E-01	8.20E-03	2.10E-01	7.20E-03	1.76E-01	6.40E-03	1.37E-01	4.20E-03	8.77E-02	3.20E-03	5.57E-02	2.40E-03	2.87E-02	1.65E-03	1.36E-02	1.15E-03	6.05E-03	7.45E-04	2.48E-03	4.70E-04	7.55E-03	4.95E-04
2.05	6.39E-02	1.15E-03	1.99E-01	5.95E-03	1.73E-01	5.50E-03	1.49E-01	4.90E-03	1.26E-01	4.40E-03	9.83E-02	2.90E-03	6.57E-02	2.25E-03	3.89E-02	1.65E-03	2.15E-02	1.20E-03	9.92E-03	7.90E-04	4.29E-03	5.30E-04	1.48E-03	3.05E-04	5.37E-03	3.45E-04
2.15	4.57E-02	8.80E-04	1.34E-01	4.80E-03	1.24E-01	4.55E-03	1.03E-01	4.05E-03	9.59E-02	3.85E-03	7.19E-02	2.40E-03	4.73E-02	1.90E-03	2.82E-02	1.40E-03	1.57E-02	1.00E-03	6.81E-03	6.65E-04	3.13E-03	4.55E-04	1.24E-03	2.85E-04	3.83E-03	2.95E-04
2.25	3.24E-02	6.90E-04	9.17E-02	3.90E-03	8.19E-02	3.65E-03	7.63E-02	3.45E-03	6.60E-02	3.15E-03	5.16E-02	2.05E-03	3.59E-02	1.65E-03	2.02E-02	1.20E-03	1.11E-02	8.70E-04	5.09E-03	5.80E-04	2.16E-03	3.85E-04	8.57E-04	2.40E-04	2.77E-03	2.55E-04
2.35	2.56E-02	6.25E-04	7.14E-02	3.65E-03	6.29E-02	3.40E-03	5.87E-02	3.20E-03	5.23E-02	2.95E-03	3.98E-02	1.90E-03	2.84E-02	1.55E-03	1.82E-02	1.20E-03	9.34E-03	8.45E-04	4.42E-03	5.75E-04	1.97E-03	3.95E-04	7.41E-04	2.40E-04	2.44E-03	2.55E-04
2.45	1.87E-02	5.20E-04	5.06E-02	3.10E-03	4.52E-02	2.90E-03	4.02E-02	2.70E-03	3.80E-02	2.55E-03	3.06E-02	1.65E-03	2.11E-02	1.35E-03	1.27E-02	9.90E-04	7.45E-03	7.70E-04	3.16E-03	4.95E-04	1.24E-03	3.15E-04	4.40E-04	1.85E-04	1.66E-03	2.10E-04
2.55	1.45E-02	4.75E-04	3.64E-02	2.80E-03	3.46E-02	2.70E-03	3.23E-02	2.60E-03	2.72E-02	2.35E-03	2.39E-02	1.55E-03	1.64E-02	1.30E-03	1.09E-02	1.00E-03	5.75E-03	7.35E-04	3.17E-03	5.40E-04	1.17E-03	3.35E-04	4.86E-04	2.10E-04	1.66E-03	2.30E-04
2.65	1.10E-02	4.15E-04	2.67E-02	2.50E-03	2.43E-02	2.35E-03	2.33E-02	2.25E-03	2.11E-02	2.15E-03	1.77E-02	1.40E-03	1.35E-02	1.20E-03	8.56E-03	9.30E-04	4.71E-03	6.90E-04	2.52E-03	4.95E-04	6.88E-04	2.65E-04	3.76E-04	1.90E-04	1.23E-03	2.05E-04
2.75	8.68E-03	3.85E-04	2.13E-02	2.40E-03	1.93E-02	2.25E-03	1.72E-02	2.05E-03	1.58E-02	1.95E-03	1.45E-02	1.35E-03	1.13E-02	1.15E-03	7.08E-03	9.00E-04	3.64E-03	6.50E-04	1.63E-03	4.30E-04	6.15E-04	2.65E-04	3.78E-04	2.10E-04	8.97E-04	1.85E-04
2.85	6.33E-03	3.35E-04	1.37E-02	2.00E-03	1.42E-02	2.00E-03	1.26E-02	1.85E-03	1.34E-02	1.90E-03	1.03E-02	1.15E-03	8.15E-03	1.04E-03	5.45E-03	8.30E-04	2.49E-03	5.60E-04	1.30E-03	4.05E-04	4.83E-04	2.45E-04	2.25E-04	1.70E-04	6.86E-04	1.70E-04
2.95	5.06E-03	3.15E-04	1.06E-02	1.85E-03	1.12E-02	1.90E-03	1.04E-02	1.80E-03	1.01E-02	1.75E-03	8.89E-03	1.20E-03	6.28E-03	9.70E-04	4.11E-03	7.70E-04	1.95E-03	5.30E-04	1.21E-03	4.15E-04	4.82E-04	2.60E-04	1.97E-04	1.70E-04	6.44E-04	1.75E-04
