#bin  pt     v2      sta_err    v2+sys_err  v2-sys_err
0 0.364727 0.0413482 0.000103039 0.0429257 0.0397707
1 0.613192 0.0681018 0.000134505 0.0702281 0.0659754
2 0.863085 0.092432 0.000181114 0.0949846 0.0898794
3 1.11338 0.11367 0.000242718 0.116909 0.11043
4 1.36327 0.133053 0.000325714 0.136794 0.129313
5 1.61283 0.150188 0.000442023 0.154325 0.146052
6 1.86272 0.164879 0.000598777 0.169446 0.160311
7 2.20132 0.178979 0.00065372 0.18539 0.172569
8 2.7044 0.187914 0.0011793 0.194645 0.181184
9 3.34423 0.183739 0.00174014 0.19032 0.177158
