#arXiv:0409033
#https://drupal.star.bnl.gov/STAR/files/starpublications/48/Figure_7a.html
#pt (GeV/c)	70-80%	60-70%	50-60%	40-50%	30-40%	20-30%	10-20%	5-10%	0-5%
0.20	2.41	0.26	2.25	0.14	2.43	0.089	2.35	0.062	2.34	0.047	2.07	0.038	1.55	0.034	1.05	0.045	0.779	0.051
0.28	3.43	0.27	3.46	0.15	3.68	0.091	3.55	0.064	3.32	0.048	2.78	0.039	2.04	0.035	1.4	0.047	0.858	0.052
0.36	4.49	0.3	5.16	0.16	4.9	0.1	4.94	0.07	4.64	0.052	3.91	0.042	2.99	0.037	2.02	0.049	1.41	0.055
0.44	6.21	0.34	6.4	0.19	6.83	0.11	6.58	0.078	6.02	0.058	5.19	0.046	3.9	0.04	2.74	0.054	1.8	0.06
0.52	7.83	0.4	8.29	0.21	8.07	0.13	7.91	0.088	7.35	0.065	6.34	0.051	4.87	0.045	3.32	0.06	2.33	0.066
0.60	9.36	0.48	9.59	0.25	9.41	0.15	9.33	0.1	8.57	0.075	7.46	0.059	5.61	0.052	3.9	0.068	2.54	0.076
0.68	10.3	0.6	11.1	0.31	11.2	0.18	10.7	0.12	9.92	0.09	8.31	0.07	6.36	0.062	4.43	0.082	3.15	0.092
0.76	12.9	0.81	11.7	0.42	11.7	0.24	12	0.16	11.1	0.12	9.32	0.09	6.96	0.082	4.84	0.11	3.23	0.12
0.84	12.1	1.3	12	0.63	14.1	0.36	13.1	0.24	12.7	0.17	10.4	0.13	7.99	0.12	5.7	0.15	3.85	0.17
0.92	15.77	 2.21	14.86 	 1.09	15.05 	 0.61	15.08 	 0.38	14.13 	 0.25	12.12 	 0.18	9.63 	 0.16	6.81 	 0.19	4.93 	 0.20
1.00	20.25 	 4.16	17.51 	 2.00	17.43 	 1.08	17.89 	 0.64	16.48 	 0.40	13.57 	 0.26	10.26 	 0.19	7.64 	 0.23	4.95 	 0.24

